Country,Scale,Base Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Afghanistan, Islamic Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,178756.00 ,220013.00 ,246210.00 ,304926.00 ,345817.00 ,427495.00 ,517509.00 ,607227.00 ,711759.00 ,836222.00 ,1033590.00 ,1116830.00 ,1183040.00 ,1226570.00 ,1222920.00 ,1285460.00 ,1327690.00 ,1469600.00 ,1547290.00 , 
Albania,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,334359.13 ,331324.24 ,384848.41 ,443593.64 ,501198.99 ,563448.81 ,610494.27 ,677737.52 ,737655.55 ,804163.21 ,872735.10 ,965527.76 ,1080675.93 ,1143936.46 ,1239644.58 ,1300624.08 ,1332810.99 ,1350052.64 ,1395304.63 ,1434306.51 ,1472479.13 ,1550645.49 ,1636731.32 ,1691903.43 ,1644077.27 , 
Algeria,Millions,,4600.00 ,5300.00 , , , , , , , , , , ,11745.49 ,18835.02 ,20301.93 ,22391.65 ,21871.29 ,24554.12 ,28321.51 ,31819.09 ,36405.62 ,36639.66 ,41872.07 ,47847.99 ,50723.68 ,60953.22 ,72356.69 ,87236.85 ,104877.21 ,128217.24 ,162500.00 ,191500.00 ,207600.00 ,233700.00 ,263900.00 ,291600.00 ,296600.00 ,312700.00 ,347700.00 ,422043.00 ,554400.00 ,862132.00 ,1074695.00 ,1189724.00 ,1487400.00 ,2004990.00 ,2570000.00 ,2780200.00 ,2830490.70 ,3248197.50 ,4123500.00 ,4227100.00 ,4522800.00 ,5252300.00 ,6149100.00 ,7562000.00 ,8501635.83 ,9352886.37 ,11043703.50 ,9968025.26 ,11991563.91 ,14589000.00 ,16209600.00 ,16647900.00 ,17228600.00 ,16712686.00 ,17514634.90 ,18876175.60 ,20393524.41 ,20501058.34 ,18383799.92 , 
"Andorra, Principality of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1551.09 ,1728.69 ,1865.83 ,2092.49 ,2331.57 ,2540.88 ,2755.13 ,2887.77 ,2789.26 ,2644.84 ,2602.31 ,2607.22 ,2481.85 ,2404.54 ,2462.69 ,2514.51 ,2616.86 ,2655.76 ,2725.27 ,2818.81 ,2507.69 , 
Angola,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,665385.00 ,1328940.00 ,1967570.00 ,3222350.00 ,4209762.00 ,5006335.00 ,6643353.00 ,5577340.74 ,7701651.48 ,10500941.84 ,12224949.83 ,13195003.55 ,14323859.00 ,13950290.85 ,16549600.00 ,20262300.00 ,25627742.12 ,30833488.64 ,33756462.30 , 
Anguilla,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,76.56 ,96.90 ,116.70 ,146.54 ,183.30 ,207.28 ,213.39 ,227.70 ,256.01 ,283.12 ,284.89 ,301.51 ,333.28 ,369.50 ,395.54 ,405.64 ,418.31 ,425.60 ,460.91 ,542.98 ,618.29 ,765.39 ,959.25 ,957.76 ,763.05 ,722.88 ,784.59 ,756.30 ,760.87 ,840.54 ,892.44 ,864.82 ,767.38 ,865.31 ,1024.88 ,697.79 , 
Antigua and Barbuda,Millions,, , , , , , , , , , , , , ,4.75 ,7.25 ,6.86 ,8.86 ,10.90 ,13.30 ,15.93 ,18.80 ,23.39 ,30.68 ,43.89 ,64.46 ,99.43 ,175.68 ,209.24 ,237.27 ,294.52 ,354.86 ,399.17 ,443.80 ,491.79 ,562.61 ,650.49 ,784.19 ,910.37 ,1076.32 ,1184.75 ,1240.57 ,1300.61 ,1348.06 ,1444.97 ,1591.46 ,1558.66 ,1711.07 ,1837.67 ,1965.22 ,2068.74 ,2231.20 ,2161.30 ,2198.83 ,2312.27 ,2483.27 ,2762.00 ,3125.69 ,3544.45 ,3699.19 ,3316.49 ,3101.49 ,3071.62 ,3239.86 ,3189.91 ,3374.28 ,3609.07 ,3878.78 ,3963.54 ,4336.05 ,4556.34 ,3699.95 , 
Argentina,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,485115.20 ,582538.20 ,715904.30 ,896980.20 ,1149646.10 ,1247929.30 ,1661720.90 ,2179024.10 ,2637913.80 ,3348308.50 ,4579086.40 ,5954510.90 ,8228159.60 ,10660228.50 ,14744810.70 ,21802256.30 ,27481440.00 ,46687235.70 
"Armenia, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3897.00 ,187064.70 ,522256.30 ,661209.00 ,804335.60 ,955384.80 ,987443.70 ,1031338.30 ,1175876.80 ,1362471.70 ,1624642.70 ,1907945.43 ,2242880.90 ,2656189.80 ,3149283.40 ,3568227.60 ,3141651.00 ,3460202.70 ,3777945.60 ,4266460.50 ,4555638.20 ,4828626.30 ,5043633.22 ,5067293.50 ,5564493.30 ,6017035.20 ,6543321.80 ,6181664.10 , 
"Aruba, Kingdom of the Netherlands",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4883.00 ,4996.00 ,5304.00 ,5341.00 ,5535.00 ,5732.00 ,5383.38 ,4060.68 , 
Australia,Millions,, , , , , , , , , , ,17313.00 ,17473.00 ,18551.00 ,20250.00 ,22238.00 ,23908.00 ,25581.00 ,28317.00 ,30891.00 ,34716.00 ,38598.00 ,42663.00 ,46772.00 ,55231.00 ,65960.00 ,76997.00 ,90424.00 ,100659.00 ,111077.00 ,127482.00 ,143819.00 ,164616.00 ,183829.00 ,199119.00 ,224755.00 ,249423.00 ,271411.00 ,305325.00 ,345423.00 ,388584.00 ,413311.00 ,416357.00 ,432040.00 ,454964.00 ,482370.00 ,511780.00 ,542763.00 ,573068.00 ,604670.00 ,637337.00 ,686658.00 ,729932.00 ,782251.00 ,830129.00 ,894439.00 ,963934.00 ,1039033.00 ,1132721.00 ,1235715.00 ,1262608.00 ,1365044.00 ,1468310.00 ,1515110.00 ,1568739.00 ,1613129.00 ,1638321.00 ,1699869.00 ,1802707.00 ,1895315.00 ,1995000.00 ,1968900.00 ,2174291.00 
Austria,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,176608.75 ,182540.88 ,188723.76 ,196346.61 ,203850.58 ,213606.48 ,220525.08 ,226735.22 ,231862.46 ,242348.26 ,254075.03 ,267824.45 ,283977.97 ,293761.91 ,288044.02 ,295896.64 ,310128.66 ,318653.04 ,323910.20 ,333146.07 ,344269.23 ,357607.95 ,369361.87 ,385423.95 ,397518.54 ,379320.56 ,403370.43 
