,Year,Country,ISO,Total Deaths,CPI,GDP(million dollars),Population,healthexp,tmax,duration
0,2000,Bulgaria,BGR,7.0,63.54954734,"28,124.88",8170172.0,94.49745178,34.6,31
1,2000,Cyprus,CYP,5.0,63.54954734,"10,594.98",943288.0,750.5167236,34.1,1
2,2000,Greece,GRC,27.0,63.54954734,"141,247.28",10805808.0,885.4104004,33.8,1
7,2000,Turkey,TUR,11.0,63.54954734,"171,494.21",63240196.0,199.4993744,27.6,31
8,2000,Pakistan,PAK,24.0,63.54954734,...,142343583.0,15.58189678,29.235238095238092,1
9,2000,Romania,ROU,6.0,63.54954734,"80,873.10",22442971.0,69.89345551,26.5,1
10,2000,United States,USA,35.0,63.54954734,"10,250,952.00",282162411.0,4543.436035,29.235238095238092,1
11,2002,China,CHN,7.0,66.3819637,"12,171,740.00",1280400000.0,49.14166641,29.0,1
12,2002,India,IND,1030.0,66.3819637,...,1093317187.0,20.23548126,37.9,13
14,2001,Russian Federation,RUS,276.0,65.34555871,...,145976482.0,118.1094894,8.3,1
15,2001,United States,USA,56.0,65.34555871,"10,581,929.00",284968955.0,4894.280762,29.235238095238092,1
16,2002,Nigeria,NGA,60.0,66.3819637,"11,501,450.40",128596079.0,18.20248985,29.235238095238092,1
17,2002,Pakistan,PAK,113.0,66.3819637,...,149549695.0,15.18973827,39.8,1
18,2002,United States,USA,14.0,66.3819637,"10,929,108.30",287625193.0,5322.742188,29.235238095238092,1
19,2003,Austria,AUT,345.0,67.88889569,"231,862.46",8121423.0,3091.240234,28.9,32
20,2003,Belgium,BEL,1175.0,67.88889569,"281,200.20",10376133.0,2828.333496,25.3,15
21,2004,Albania,ALB,3.0,69.70644216,"737,655.55",3026939.0,156.5681763,29.235238095238092,1
22,2003,Switzerland,CHE,1039.0,67.88889569,"488,937.34",7339001.0,5018.527344,31.2,1
23,2003,Germany,DEU,9355.0,67.88889569,"2,211,570.00",82534176.0,3152.794189,23.4,1
24,2003,Spain,ESP,15090.0,67.88889569,"802,266.00",42187645.0,1641.058716,29.9,11
25,2003,France,FRA,19490.0,67.88889569,"1,630,666.00",62244880.0,3006.305908,26.6,20
27,2003,India,IND,1210.0,67.88889569,...,1111523146.0,21.99779892,39.6,24
28,2003,Italy,ITA,20089.0,67.88889569,"1,394,693.20",57313203.0,2163.025391,26.0,31
