Country,ISO,Year,January,February,March,April,May,Heatwave
Albania,ALB,2004,6.7,8.5,11.7,15.8,17.6,1
Albania,ALB,2005,6.6,6.4,10.9,14.1,20.4,0
Albania,ALB,2006,5.5,7.8,10.8,15.3,18.8,0
Albania,ALB,2007,7.06,8.32,10.9,14.52,18.76,1
Albania,ALB,2008,5.4,7.02,10,13.4,17.94,0
Albania,ALB,2009,9.1,8,11,16.2,20.8,0
Albania,ALB,2010,7.4,9.3,12.3,16.7,19.4,0
Albania,ALB,2011,6.4,8,10.7,14.5,18.2,0
Albania,ALB,2013,7.3,8.5,11.1,15.2,19,0
Albania,ALB,2014,9.6,10.4,11.3,13.7,17.2,0
Albania,ALB,2015,6.2,7.8,10.8,13.2,19.3,0
Albania,ALB,2016,7.3,11.8,11.4,16,17.7,0
Albania,ALB,2017,3.8,9.8,12.2,13.9,18.6,0
Albania,ALB,2018,7.6,8.5,12,17.2,20.7,0
Albania,ALB,2019,3.95,7.725,12.3,14.575,15.75,0
Albania,ALB,2020,4.775,8.425,11.5,13.25,18.075,0
Albania,ALB,2021,6.675,7.88,9.2,11.51,17.91,0
Algeria,DZA,1991,12.3,11.925,14.62857143,13.9,15.78333333,0
Algeria,DZA,1992,10.07142857,11.08571429,12.63333333,14.625,18.0625,0
Algeria,DZA,1993,10.4125,10.95555556,12.675,15.18888889,18.95555556,0
Algeria,DZA,1994,12.125,12.5,14.4,14.0375,19.9125,0
Algeria,DZA,1995,11.74285714,13.94285714,13.36666667,14.54444444,19.75,0
Algeria,DZA,1996,14.2,11.6625,13.68333333,15.8875,18.28571429,0
Algeria,DZA,1997,13.575,12.94444444,13.1625,15.775,20.2125,0
Algeria,DZA,1998,12.31428571,12.825,13.9625,16.4,18.4,0
Algeria,DZA,1999,11.9,10.4375,14.45,15.9125,20.6625,0
Algeria,DZA,2000,9.5375,12.475,14.225,16.8,20.1125,0
Algeria,DZA,2001,12.575,11.775,17.225,15.725,18.65,0
Algeria,DZA,2002,11.33333333,12.3125,14.66,15.87777778,19.23333333,0
Algeria,DZA,2003,11.91111111,11.21,14.39,16.62222222,18.94444444,1
Algeria,DZA,2004,12.31111111,13.12222222,13.72222222,14.62,17.33333333,0
Algeria,DZA,2005,9.59,9.73,13.2,16.08,19.96666667,0
Algeria,DZA,2006,10.875,11.51111111,14.66666667,17.86666667,20.68,0
Algeria,DZA,2007,13.0375,14.1125,13.625,16.425,19.8625,0
