,time,Country,ISO,tavg,Month,Year,Heatwave
0,1990-01-01,Jordan,JOR,6.6000000000000005,January,1990,0.0
1,1990-02-01,Jordan,JOR,7.725,February,1990,0.0
2,1990-03-01,Jordan,JOR,11.75,March,1990,0.0
3,1990-04-01,Jordan,JOR,17.0,April,1990,0.0
4,1990-05-01,Jordan,JOR,21.700000000000003,May,1990,0.0
5,1990-06-01,Jordan,JOR,25.35,June,1990,0.0
6,1990-07-01,Jordan,JOR,27.25,July,1990,0.0
7,1990-08-01,Jordan,JOR,26.65,August,1990,0.0
8,1990-09-01,Jordan,JOR,24.700000000000003,September,1990,0.0
9,1990-10-01,Jordan,JOR,21.4,October,1990,0.0
10,1990-11-01,Jordan,JOR,16.9,November,1990,0.0
11,1990-12-01,Jordan,JOR,11.95,December,1990,0.0
12,1991-01-01,Jordan,JOR,7.7,January,1991,0.0
13,1991-02-01,Jordan,JOR,9.600000000000001,February,1991,0.0
14,1991-03-01,Jordan,JOR,14.1,March,1991,0.0
15,1991-04-01,Jordan,JOR,19.2,April,1991,0.0
16,1991-05-01,Jordan,JOR,21.25,May,1991,0.0
17,1991-06-01,Jordan,JOR,25.85,June,1991,0.0
18,1991-07-01,Jordan,JOR,26.5,July,1991,0.0
19,1991-08-01,Jordan,JOR,26.35,August,1991,0.0
20,1991-09-01,Jordan,JOR,24.9,September,1991,0.0
21,1991-10-01,Jordan,JOR,21.25,October,1991,0.0
22,1991-11-01,Jordan,JOR,15.45,November,1991,0.0
23,1991-12-01,Jordan,JOR,7.45,December,1991,0.0
24,1992-01-01,Jordan,JOR,4.6,January,1992,0.0
25,1992-02-01,Jordan,JOR,5.6,February,1992,0.0
26,1992-03-01,Jordan,JOR,10.0,March,1992,0.0
27,1992-04-01,Jordan,JOR,15.9,April,1992,0.0
28,1992-05-01,Jordan,JOR,20.3,May,1992,0.0
29,1992-06-01,Jordan,JOR,24.099999999999998,June,1992,0.0
30,1992-07-01,Jordan,JOR,25.266666666666666,July,1992,0.0
31,1992-08-01,Jordan,JOR,26.766666666666666,August,1992,0.0
32,1992-09-01,Jordan,JOR,24.066666666666666,September,1992,0.0
33,1992-10-01,Jordan,JOR,21.933333333333334,October,1992,0.0
34,1992-11-01,Jordan,JOR,14.066666666666668,November,1992,0.0
35,1992-12-01,Jordan,JOR,7.3999999999999995,December,1992,0.0
36,1993-01-01,Jordan,JOR,6.8,January,1993,0.0
37,1993-02-01,Jordan,JOR,7.266666666666667,February,1993,0.0
38,1993-03-01,Jordan,JOR,11.700000000000001,March,1993,0.0
39,1993-04-01,Jordan,JOR,17.366666666666667,April,1993,0.0
40,1993-05-01,Jordan,JOR,20.233333333333334,May,1993,0.0
41,1993-06-01,Jordan,JOR,25.233333333333334,June,1993,0.0
42,1993-07-01,Jordan,JOR,26.433333333333334,July,1993,0.0
43,1993-08-01,Jordan,JOR,27.233333333333334,August,1993,0.0
44,1993-09-01,Jordan,JOR,24.900000000000002,September,1993,0.0
45,1993-10-01,Jordan,JOR,21.866666666666664,October,1993,0.0
46,1993-11-01,Jordan,JOR,13.700000000000001,November,1993,0.0
47,1993-12-01,Jordan,JOR,12.233333333333334,December,1993,0.0
48,1994-01-01,Jordan,JOR,10.266666666666667,January,1994,0.0
49,1994-02-01,Jordan,JOR,9.6,February,1994,0.0
50,1994-03-01,Jordan,JOR,12.766666666666666,March,1994,0.0
51,1994-04-01,Jordan,JOR,19.733333333333334,April,1994,0.0
52,1994-05-01,Jordan,JOR,22.96666666666667,May,1994,0.0
53,1994-06-01,Jordan,JOR,24.599999999999998,June,1994,0.0
54,1994-07-01,Jordan,JOR,25.880000000000003,July,1994,0.0
55,1994-08-01,Jordan,JOR,26.68,August,1994,0.0
56,1994-09-01,Jordan,JOR,26.639999999999997,September,1994,0.0
57,1994-10-01,Jordan,JOR,23.18,October,1994,0.0
58,1994-11-01,Jordan,JOR,13.24,November,1994,0.0
59,1994-12-01,Jordan,JOR,7.08,December,1994,0.0
60,1995-01-01,Jordan,JOR,8.866666666666667,January,1995,0.0
61,1995-02-01,Jordan,JOR,9.633333333333333,February,1995,0.0
62,1995-03-01,Jordan,JOR,13.333333333333334,March,1995,0.0
63,1995-04-01,Jordan,JOR,16.96666666666667,April,1995,0.0
64,1995-05-01,Jordan,JOR,23.766666666666666,May,1995,0.0
65,1995-06-01,Jordan,JOR,26.900000000000002,June,1995,0.0
66,1995-07-01,Jordan,JOR,26.866666666666664,July,1995,0.0
67,1995-08-01,Jordan,JOR,28.9,August,1995,0.0
68,1995-09-01,Jordan,JOR,25.566666666666666,September,1995,0.0
69,1995-10-01,Jordan,JOR,20.533333333333335,October,1995,0.0
70,1995-11-01,Jordan,JOR,12.700000000000001,November,1995,0.0
71,1995-12-01,Jordan,JOR,8.2,December,1995,0.0
72,1996-01-01,Jordan,JOR,8.566666666666668,January,1996,0.0
73,1996-02-01,Jordan,JOR,11.1,February,1996,0.0
74,1996-03-01,Jordan,JOR,12.5,March,1996,0.0
75,1996-04-01,Jordan,JOR,16.866666666666667,April,1996,0.0
76,1996-05-01,Jordan,JOR,25.133333333333336,May,1996,0.0
77,1996-06-01,Jordan,JOR,26.366666666666664,June,1996,0.0
78,1996-07-01,Jordan,JOR,30.03333333333333,July,1996,0.0
79,1996-08-01,Jordan,JOR,28.53333333333333,August,1996,0.0
80,1996-09-01,Jordan,JOR,25.7,September,1996,0.0
81,1996-10-01,Jordan,JOR,19.566666666666666,October,1996,0.0
82,1996-11-01,Jordan,JOR,14.9,November,1996,0.0
83,1996-12-01,Jordan,JOR,11.333333333333334,December,1996,0.0
84,1997-01-01,Jordan,JOR,8.966666666666667,January,1997,0.0
85,1997-02-01,Jordan,JOR,6.766666666666667,February,1997,0.0
86,1997-03-01,Jordan,JOR,10.166666666666666,March,1997,0.0
87,1997-04-01,Jordan,JOR,16.066666666666666,April,1997,0.0
88,1997-05-01,Jordan,JOR,23.899999999999995,May,1997,0.0
89,1997-06-01,Jordan,JOR,25.900000000000002,June,1997,0.0
90,1997-07-01,Jordan,JOR,27.733333333333334,July,1997,0.0
91,1997-08-01,Jordan,JOR,25.733333333333334,August,1997,0.0
92,1997-09-01,Jordan,JOR,24.733333333333334,September,1997,0.0
93,1997-10-01,Jordan,JOR,21.366666666666664,October,1997,0.0
94,1997-11-01,Jordan,JOR,14.699999999999998,November,1997,0.0
95,1997-12-01,Jordan,JOR,10.299999999999999,December,1997,0.0
96,1998-01-01,Jordan,JOR,7.8,January,1998,0.0
97,1998-02-01,Jordan,JOR,9.733333333333334,February,1998,0.0
98,1998-03-01,Jordan,JOR,11.566666666666668,March,1998,0.0
99,1998-04-01,Jordan,JOR,18.866666666666667,April,1998,0.0
100,1998-05-01,Jordan,JOR,23.166666666666668,May,1998,0.0
101,1998-06-01,Jordan,JOR,26.46666666666667,June,1998,0.0
102,1998-07-01,Jordan,JOR,28.900000000000002,July,1998,0.0
103,1998-08-01,Jordan,JOR,29.700000000000003,August,1998,0.0
104,1998-09-01,Jordan,JOR,26.666666666666668,September,1998,0.0
105,1998-10-01,Jordan,JOR,21.433333333333334,October,1998,0.0
106,1998-11-01,Jordan,JOR,17.666666666666668,November,1998,0.0
107,1998-12-01,Jordan,JOR,11.533333333333333,December,1998,0.0
108,1999-01-01,Jordan,JOR,8.85,January,1999,0.0
109,1999-02-01,Jordan,JOR,10.933333333333332,February,1999,0.0
110,1999-03-01,Jordan,JOR,13.666666666666666,March,1999,0.0
111,1999-04-01,Jordan,JOR,18.233333333333334,April,1999,0.0
112,1999-05-01,Jordan,JOR,24.46666666666667,May,1999,0.0
113,1999-06-01,Jordan,JOR,25.833333333333332,June,1999,0.0
114,1999-07-01,Jordan,JOR,28.03333333333333,July,1999,0.0
115,1999-08-01,Jordan,JOR,29.133333333333336,August,1999,0.0
116,1999-09-01,Jordan,JOR,25.46666666666667,September,1999,0.0
117,1999-10-01,Jordan,JOR,21.566666666666666,October,1999,0.0
118,1999-11-01,Jordan,JOR,14.799999999999999,November,1999,0.0
119,1999-12-01,Jordan,JOR,10.5,December,1999,0.0
120,2000-01-01,Jordan,JOR,7.266666666666667,January,2000,1.0
121,2000-02-01,Jordan,JOR,8.2,February,2000,1.0
122,2000-03-01,Jordan,JOR,11.5,March,2000,1.0
123,2000-04-01,Jordan,JOR,19.15,April,2000,1.0
124,2000-05-01,Jordan,JOR,22.099999999999998,May,2000,1.0
125,2000-06-01,Jordan,JOR,26.8,June,2000,1.0
126,2000-07-01,Jordan,JOR,31.233333333333334,July,2000,1.0
127,2000-08-01,Jordan,JOR,28.599999999999998,August,2000,1.0
128,2000-09-01,Jordan,JOR,25.166666666666668,September,2000,1.0
129,2000-10-01,Jordan,JOR,19.166666666666668,October,2000,1.0
130,2000-11-01,Jordan,JOR,14.266666666666666,November,2000,1.0
131,2000-12-01,Jordan,JOR,9.9,December,2000,1.0
132,2001-01-01,Jordan,JOR,8.700000000000001,January,2001,0.0
133,2001-02-01,Jordan,JOR,9.733333333333333,February,2001,0.0
134,2001-03-01,Jordan,JOR,16.9,March,2001,0.0
135,2001-04-01,Jordan,JOR,19.166666666666668,April,2001,0.0
136,2001-05-01,Jordan,JOR,21.799999999999997,May,2001,0.0
137,2001-06-01,Jordan,JOR,26.96666666666667,June,2001,0.0
138,2001-07-01,Jordan,JOR,27.85,July,2001,0.0
139,2001-08-01,Jordan,JOR,28.15,August,2001,0.0
140,2001-09-01,Jordan,JOR,25.8,September,2001,0.0
141,2001-10-01,Jordan,JOR,20.55,October,2001,0.0
142,2001-11-01,Jordan,JOR,13.733333333333334,November,2001,0.0
143,2001-12-01,Jordan,JOR,10.5,December,2001,0.0
144,2002-01-01,Jordan,JOR,6.7,January,2002,0.0
145,2002-02-01,Jordan,JOR,10.7,February,2002,0.0
146,2002-03-01,Jordan,JOR,14.933333333333332,March,2002,0.0
147,2002-04-01,Jordan,JOR,17.366666666666667,April,2002,0.0
148,2002-05-01,Jordan,JOR,21.25,May,2002,0.0
149,2002-06-01,Jordan,JOR,25.15,June,2002,0.0
150,2002-07-01,Jordan,JOR,28.3,July,2002,0.0
151,2002-08-01,Jordan,JOR,27.53333333333333,August,2002,0.0
152,2002-09-01,Jordan,JOR,25.866666666666664,September,2002,0.0
153,2002-10-01,Jordan,JOR,22.8,October,2002,0.0
154,2002-11-01,Jordan,JOR,14.65,November,2002,0.0
155,2002-12-01,Jordan,JOR,9.5,December,2002,0.0
156,2003-01-01,Jordan,JOR,9.733333333333333,January,2003,0.0
157,2003-02-01,Jordan,JOR,8.700000000000001,February,2003,0.0
158,2003-03-01,Jordan,JOR,11.0,March,2003,0.0
159,2003-04-01,Jordan,JOR,17.549999999999997,April,2003,0.0
160,2003-05-01,Jordan,JOR,24.35,May,2003,0.0
161,2003-06-01,Jordan,JOR,25.833333333333332,June,2003,0.0
162,2003-07-01,Jordan,JOR,26.799999999999997,July,2003,0.0
163,2003-08-01,Jordan,JOR,28.0,August,2003,0.0
164,2003-09-01,Jordan,JOR,24.666666666666668,September,2003,0.0
165,2003-10-01,Jordan,JOR,21.0,October,2003,0.0
166,2003-11-01,Jordan,JOR,14.65,November,2003,0.0
167,2003-12-01,Jordan,JOR,9.149999999999999,December,2003,0.0
168,2004-01-01,Jordan,JOR,8.233333333333333,January,2004,0.0
169,2004-02-01,Jordan,JOR,9.6,February,2004,0.0
170,2004-03-01,Jordan,JOR,14.9,March,2004,0.0
171,2004-04-01,Jordan,JOR,17.55,April,2004,0.0
172,2004-05-01,Jordan,JOR,21.65,May,2004,0.0
173,2004-06-01,Jordan,JOR,25.200000000000003,June,2004,0.0
174,2004-07-01,Jordan,JOR,28.15,July,2004,0.0
175,2004-08-01,Jordan,JOR,27.333333333333332,August,2004,0.0
176,2004-09-01,Jordan,JOR,25.200000000000003,September,2004,0.0
177,2004-10-01,Jordan,JOR,22.53333333333333,October,2004,0.0
178,2004-11-01,Jordan,JOR,14.5,November,2004,0.0
179,2004-12-01,Jordan,JOR,7.5,December,2004,0.0
180,2005-01-01,Jordan,JOR,8.35,January,2005,0.0
181,2005-02-01,Jordan,JOR,8.7,February,2005,0.0
182,2005-03-01,Jordan,JOR,13.5,March,2005,0.0
183,2005-04-01,Jordan,JOR,18.3,April,2005,0.0
184,2005-05-01,Jordan,JOR,21.35,May,2005,0.0
185,2005-06-01,Jordan,JOR,24.9,June,2005,0.0
186,2005-07-01,Jordan,JOR,27.6,July,2005,0.0
187,2005-08-01,Jordan,JOR,28.46666666666667,August,2005,0.0
188,2005-09-01,Jordan,JOR,24.766666666666666,September,2005,0.0
189,2005-10-01,Jordan,JOR,20.133333333333333,October,2005,0.0
190,2005-11-01,Jordan,JOR,13.466666666666667,November,2005,0.0
191,2005-12-01,Jordan,JOR,12.1,December,2005,0.0
192,2006-01-01,Jordan,JOR,8.6,January,2006,0.0
193,2006-02-01,Jordan,JOR,10.866666666666667,February,2006,0.0
194,2006-03-01,Jordan,JOR,14.166666666666666,March,2006,0.0
195,2006-04-01,Jordan,JOR,18.033333333333335,April,2006,0.0
196,2006-05-01,Jordan,JOR,23.400000000000002,May,2006,0.0
197,2006-06-01,Jordan,JOR,27.633333333333336,June,2006,0.0
198,2006-07-01,Jordan,JOR,27.333333333333332,July,2006,0.0
199,2006-08-01,Jordan,JOR,28.8,August,2006,0.0
200,2006-09-01,Jordan,JOR,26.0,September,2006,0.0
201,2006-10-01,Jordan,JOR,20.7,October,2006,0.0
202,2006-11-01,Jordan,JOR,12.633333333333333,November,2006,0.0
203,2006-12-01,Jordan,JOR,6.733333333333333,December,2006,0.0
204,2007-01-01,Jordan,JOR,7.433333333333334,January,2007,0.0
205,2007-02-01,Jordan,JOR,10.4,February,2007,0.0
206,2007-03-01,Jordan,JOR,12.149999999999999,March,2007,0.0
207,2007-04-01,Jordan,JOR,16.733333333333334,April,2007,0.0
208,2007-05-01,Jordan,JOR,24.599999999999998,May,2007,0.0
209,2007-06-01,Jordan,JOR,27.133333333333336,June,2007,0.0
210,2007-07-01,Jordan,JOR,28.866666666666664,July,2007,0.0
211,2007-08-01,Jordan,JOR,27.85,August,2007,0.0
212,2007-09-01,Jordan,JOR,26.400000000000002,September,2007,0.0
213,2007-10-01,Jordan,JOR,22.900000000000002,October,2007,0.0
214,2007-11-01,Jordan,JOR,15.166666666666666,November,2007,0.0
215,2007-12-01,Jordan,JOR,9.233333333333333,December,2007,0.0
216,2008-01-01,Jordan,JOR,4.733333333333333,January,2008,0.0
217,2008-02-01,Jordan,JOR,8.700000000000001,February,2008,0.0
218,2008-03-01,Jordan,JOR,17.099999999999998,March,2008,0.0
219,2008-04-01,Jordan,JOR,19.8,April,2008,0.0
220,2008-05-01,Jordan,JOR,21.733333333333334,May,2008,0.0
221,2008-06-01,Jordan,JOR,26.8,June,2008,0.0
222,2008-07-01,Jordan,JOR,28.266666666666666,July,2008,0.0
223,2008-08-01,Jordan,JOR,28.3,August,2008,0.0
224,2008-09-01,Jordan,JOR,25.85,September,2008,0.0
225,2008-10-01,Jordan,JOR,20.633333333333336,October,2008,0.0
226,2008-11-01,Jordan,JOR,14.85,November,2008,0.0
227,2008-12-01,Jordan,JOR,9.933333333333332,December,2008,0.0
228,2009-01-01,Jordan,JOR,8.066666666666668,January,2009,0.0
229,2009-02-01,Jordan,JOR,10.466666666666667,February,2009,0.0
230,2009-03-01,Jordan,JOR,12.466666666666667,March,2009,0.0
231,2009-04-01,Jordan,JOR,17.45,April,2009,0.0
232,2009-05-01,Jordan,JOR,21.6,May,2009,0.0
233,2009-06-01,Jordan,JOR,26.4,June,2009,0.0
234,2009-07-01,Jordan,JOR,27.2,July,2009,0.0
235,2009-08-01,Jordan,JOR,27.35,August,2009,0.0
236,2009-09-01,Jordan,JOR,24.25,September,2009,0.0
237,2009-10-01,Jordan,JOR,22.933333333333334,October,2009,0.0
238,2009-11-01,Jordan,JOR,14.0,November,2009,0.0
239,2009-12-01,Jordan,JOR,11.75,December,2009,0.0
240,2010-01-01,Jordan,JOR,11.25,January,2010,0.0
241,2010-02-01,Jordan,JOR,12.5,February,2010,0.0
242,2010-03-01,Jordan,JOR,16.266666666666666,March,2010,0.0
243,2010-04-01,Jordan,JOR,19.299999999999997,April,2010,0.0
244,2010-05-01,Jordan,JOR,23.4,May,2010,0.0
245,2010-06-01,Jordan,JOR,26.799999999999997,June,2010,0.0
246,2010-07-01,Jordan,JOR,28.799999999999997,July,2010,0.0
247,2010-08-01,Jordan,JOR,31.86666666666667,August,2010,0.0
248,2010-09-01,Jordan,JOR,27.1,September,2010,0.0
249,2010-10-01,Jordan,JOR,23.3,October,2010,0.0
250,2010-11-01,Jordan,JOR,17.35,November,2010,0.0
251,2010-12-01,Jordan,JOR,11.149999999999999,December,2010,0.0
252,2011-01-01,Jordan,JOR,9.35,January,2011,0.0
253,2011-02-01,Jordan,JOR,10.15,February,2011,0.0
254,2011-03-01,Jordan,JOR,12.7,March,2011,0.0
255,2011-04-01,Jordan,JOR,17.3,April,2011,0.0
256,2011-05-01,Jordan,JOR,22.03333333333333,May,2011,0.0
257,2011-06-01,Jordan,JOR,26.099999999999998,June,2011,0.0
258,2011-07-01,Jordan,JOR,28.7,July,2011,0.0
259,2011-08-01,Jordan,JOR,27.700000000000003,August,2011,0.0
260,2011-09-01,Jordan,JOR,26.166666666666668,September,2011,0.0
261,2011-10-01,Jordan,JOR,20.366666666666667,October,2011,0.0
262,2011-11-01,Jordan,JOR,10.8,November,2011,0.0
263,2011-12-01,Jordan,JOR,8.4,December,2011,0.0
264,2012-01-01,Jordan,JOR,7.0,January,2012,0.0
265,2012-02-01,Jordan,JOR,8.55,February,2012,0.0
266,2012-03-01,Jordan,JOR,10.899999999999999,March,2012,0.0
267,2012-04-01,Jordan,JOR,19.15,April,2012,0.0
268,2012-05-01,Jordan,JOR,22.700000000000003,May,2012,0.0
269,2012-06-01,Jordan,JOR,27.4,June,2012,0.0
270,2012-07-01,Jordan,JOR,29.0,July,2012,0.0
271,2012-08-01,Jordan,JOR,27.85,August,2012,0.0
272,2012-09-01,Jordan,JOR,25.9,September,2012,0.0
273,2012-10-01,Jordan,JOR,22.7,October,2012,0.0
274,2012-11-01,Jordan,JOR,15.75,November,2012,0.0
275,2012-12-01,Jordan,JOR,10.75,December,2012,0.0
276,2013-01-01,Jordan,JOR,8.9,January,2013,0.0
277,2013-02-01,Jordan,JOR,11.933333333333332,February,2013,0.0
278,2013-03-01,Jordan,JOR,15.15,March,2013,0.0
279,2013-04-01,Jordan,JOR,17.599999999999998,April,2013,0.0
280,2013-05-01,Jordan,JOR,23.05,May,2013,0.0
281,2013-06-01,Jordan,JOR,25.4,June,2013,0.0
282,2013-07-01,Jordan,JOR,27.666666666666668,July,2013,0.0
283,2013-08-01,Jordan,JOR,27.2,August,2013,0.0
284,2013-09-01,Jordan,JOR,24.96666666666667,September,2013,0.0
285,2013-10-01,Jordan,JOR,18.933333333333334,October,2013,0.0
286,2013-11-01,Jordan,JOR,16.26666666666667,November,2013,0.0
287,2013-12-01,Jordan,JOR,8.333333333333334,December,2013,0.0
288,2014-01-01,Jordan,JOR,9.299999999999999,January,2014,0.0
289,2014-02-01,Jordan,JOR,10.966666666666667,February,2014,0.0
290,2014-03-01,Jordan,JOR,15.233333333333334,March,2014,0.0
291,2014-04-01,Jordan,JOR,20.066666666666666,April,2014,0.0
292,2014-05-01,Jordan,JOR,22.933333333333334,May,2014,0.0
293,2014-06-01,Jordan,JOR,25.566666666666666,June,2014,0.0
294,2014-07-01,Jordan,JOR,26.95,July,2014,0.0
295,2014-08-01,Jordan,JOR,28.8,August,2014,0.0
296,2014-09-01,Jordan,JOR,24.866666666666664,September,2014,0.0
297,2014-10-01,Jordan,JOR,20.599999999999998,October,2014,0.0
298,2014-11-01,Jordan,JOR,13.799999999999999,November,2014,0.0
299,2014-12-01,Jordan,JOR,11.700000000000001,December,2014,0.0
300,2015-01-01,Jordan,JOR,8.133333333333333,January,2015,0.0
301,2015-02-01,Jordan,JOR,10.1,February,2015,0.0
302,2015-03-01,Jordan,JOR,14.833333333333334,March,2015,0.0
303,2015-04-01,Jordan,JOR,17.366666666666667,April,2015,0.0
304,2015-05-01,Jordan,JOR,23.766666666666666,May,2015,0.0
305,2015-06-01,Jordan,JOR,24.7,June,2015,0.0
306,2015-07-01,Jordan,JOR,28.1,July,2015,0.0
307,2015-08-01,Jordan,JOR,30.166666666666668,August,2015,0.0
308,2015-09-01,Jordan,JOR,28.15,September,2015,0.0
309,2015-10-01,Jordan,JOR,22.65,October,2015,0.0
310,2015-11-01,Jordan,JOR,15.0,November,2015,0.0
311,2015-12-01,Jordan,JOR,8.55,December,2015,0.0
312,2016-01-01,Jordan,JOR,7.949999999999999,January,2016,0.0
313,2016-02-01,Jordan,JOR,12.45,February,2016,0.0
314,2016-03-01,Jordan,JOR,15.05,March,2016,0.0
315,2016-04-01,Jordan,JOR,19.8,April,2016,0.0
316,2016-05-01,Jordan,JOR,22.2,May,2016,0.0
317,2016-06-01,Jordan,JOR,27.566666666666666,June,2016,0.0
318,2016-07-01,Jordan,JOR,28.15,July,2016,0.0
319,2016-08-01,Jordan,JOR,28.95,August,2016,0.0
320,2016-09-01,Jordan,JOR,25.1,September,2016,0.0
321,2016-10-01,Jordan,JOR,22.25,October,2016,0.0
322,2016-11-01,Jordan,JOR,15.1,November,2016,0.0
323,2016-12-01,Jordan,JOR,8.333333333333334,December,2016,0.0
324,2017-01-01,Jordan,JOR,7.65,January,2017,0.0
325,2017-02-01,Jordan,JOR,8.5,February,2017,0.0
326,2017-03-01,Jordan,JOR,13.55,March,2017,0.0
327,2017-04-01,Jordan,JOR,19.400000000000002,April,2017,0.0
328,2017-05-01,Jordan,JOR,23.299999999999997,May,2017,0.0
329,2017-06-01,Jordan,JOR,24.3,June,2017,0.0
330,2017-07-01,Jordan,JOR,30.85,July,2017,0.0
331,2017-08-01,Jordan,JOR,28.799999999999997,August,2017,0.0
332,2017-09-01,Jordan,JOR,27.15,September,2017,0.0
333,2017-10-01,Jordan,JOR,20.6,October,2017,0.0
334,2017-11-01,Jordan,JOR,15.15,November,2017,0.0
335,2017-12-01,Jordan,JOR,11.8,December,2017,0.0
336,2018-01-01,Jordan,JOR,9.05,January,2018,0.0
337,2018-02-01,Jordan,JOR,12.6,February,2018,0.0
338,2018-03-01,Jordan,JOR,17.05,March,2018,0.0
339,2018-04-01,Jordan,JOR,19.0,April,2018,0.0
340,2018-05-01,Jordan,JOR,24.299999999999997,May,2018,0.0
341,2018-06-01,Jordan,JOR,25.8,June,2018,0.0
342,2018-07-01,Jordan,JOR,27.55,July,2018,0.0
343,2018-08-01,Jordan,JOR,26.51,August,2018,0.0
344,2018-09-01,Jordan,JOR,25.46,September,2018,0.0
345,2018-10-01,Jordan,JOR,21.55,October,2018,0.0
346,2018-11-01,Jordan,JOR,14.830000000000002,November,2018,0.0
347,2018-12-01,Jordan,JOR,10.870000000000001,December,2018,0.0
348,2019-01-01,Jordan,JOR,8.8,January,2019,0.0
349,2019-02-01,Jordan,JOR,9.91,February,2019,0.0
350,2019-03-01,Jordan,JOR,11.850000000000001,March,2019,0.0
351,2019-04-01,Jordan,JOR,15.38,April,2019,0.0
352,2019-05-01,Jordan,JOR,24.32,May,2019,0.0
353,2019-06-01,Jordan,JOR,26.910000000000004,June,2019,0.0
354,2019-07-01,Jordan,JOR,27.27,July,2019,0.0
355,2019-08-01,Jordan,JOR,27.7,August,2019,0.0
356,2019-09-01,Jordan,JOR,25.21,September,2019,0.0
357,2019-10-01,Jordan,JOR,22.009999999999998,October,2019,0.0
358,2019-11-01,Jordan,JOR,15.61,November,2019,0.0
359,2019-12-01,Jordan,JOR,10.120000000000001,December,2019,0.0
360,2020-01-01,Jordan,JOR,7.87,January,2020,0.0
361,2020-02-01,Jordan,JOR,10.0,February,2020,0.0
362,2020-03-01,Jordan,JOR,14.9,March,2020,0.0
363,2020-04-01,Jordan,JOR,16.93,April,2020,0.0
364,2020-05-01,Jordan,JOR,22.72,May,2020,0.0
365,2020-06-01,Jordan,JOR,25.03,June,2020,0.0
366,2020-07-01,Jordan,JOR,29.07,July,2020,0.0
367,2020-08-01,Jordan,JOR,27.630000000000003,August,2020,0.0
368,2020-09-01,Jordan,JOR,28.95,September,2020,0.0
369,2020-10-01,Jordan,JOR,23.28,October,2020,0.0
370,2020-11-01,Jordan,JOR,15.11,November,2020,0.0
371,2020-12-01,Jordan,JOR,11.53,December,2020,0.0
372,2021-01-01,Jordan,JOR,10.22,January,2021,0.0
373,2021-02-01,Jordan,JOR,11.25,February,2021,0.0
374,2021-03-01,Jordan,JOR,13.649999999999999,March,2021,0.0
375,2021-04-01,Jordan,JOR,19.330000000000002,April,2021,0.0
376,2021-05-01,Jordan,JOR,24.09,May,2021,0.0
377,2021-06-01,Jordan,JOR,24.68,June,2021,0.0
378,2021-07-01,Jordan,JOR,28.189999999999998,July,2021,0.0
379,2021-08-01,Jordan,JOR,28.6,August,2021,0.0
380,2021-09-01,Jordan,JOR,24.39,September,2021,0.0
381,2021-10-01,Jordan,JOR,20.98,October,2021,0.0
382,2021-11-01,Jordan,JOR,15.89,November,2021,0.0
383,2021-12-01,Jordan,JOR,10.58,December,2021,0.0
384,1990-01-01,Netherlands,NLD,6.0,January,1990,0.0
385,1990-02-01,Netherlands,NLD,7.3,February,1990,0.0
386,1990-03-01,Netherlands,NLD,8.0,March,1990,0.0
387,1990-04-01,Netherlands,NLD,8.3,April,1990,0.0
388,1990-05-01,Netherlands,NLD,12.8,May,1990,0.0
389,1990-06-01,Netherlands,NLD,14.4,June,1990,0.0
390,1990-07-01,Netherlands,NLD,16.3,July,1990,0.0
391,1990-08-01,Netherlands,NLD,18.1,August,1990,0.0
392,1990-09-01,Netherlands,NLD,14.1,September,1990,0.0
393,1990-10-01,Netherlands,NLD,12.4,October,1990,0.0
394,1990-11-01,Netherlands,NLD,7.2,November,1990,0.0
395,1990-12-01,Netherlands,NLD,5.1,December,1990,0.0
396,1991-01-01,Netherlands,NLD,3.4000000000000004,January,1991,0.0
397,1991-02-01,Netherlands,NLD,-0.6,February,1991,0.0
398,1991-03-01,Netherlands,NLD,7.5,March,1991,0.0
399,1991-04-01,Netherlands,NLD,8.1,April,1991,0.0
400,1991-05-01,Netherlands,NLD,8.1,May,1991,0.0
401,1991-06-01,Netherlands,NLD,12.3,June,1991,0.0
402,1991-07-01,Netherlands,NLD,18.1,July,1991,0.0
403,1991-08-01,Netherlands,NLD,17.6,August,1991,0.0
404,1991-09-01,Netherlands,NLD,15.25,September,1991,0.0
405,1991-10-01,Netherlands,NLD,10.7,October,1991,0.0
406,1991-11-01,Netherlands,NLD,6.6,November,1991,0.0
407,1991-12-01,Netherlands,NLD,5.1,December,1991,0.0
408,1992-01-01,Netherlands,NLD,3.65,January,1992,0.0
409,1992-02-01,Netherlands,NLD,5.2,February,1992,0.0
410,1992-03-01,Netherlands,NLD,6.4,March,1992,0.0
411,1992-04-01,Netherlands,NLD,8.399999999999999,April,1992,0.0
412,1992-05-01,Netherlands,NLD,14.7,May,1992,0.0
413,1992-06-01,Netherlands,NLD,16.9,June,1992,0.0
414,1992-07-01,Netherlands,NLD,17.7,July,1992,0.0
